stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding																																	   
1114,1277,"M St & S 45th St",,47.216746,-122.450811,,,,,,1
1115,1278,"M St & S 45th St",,47.216746,-122.450948,,,,,,1
118,128,"116th St S & 12th Ave S",,47.151213,-122.450284,,,,,,1
1118,1281,"M St & S 48th St",,47.213977,-122.450887,,,,,,1
1119,1282,"M St & S 48th St",,47.213815,-122.451067,,,,,,1
1120,1283,"M St & S 50th St",,47.211690,-122.451042,,,,,,1
1121,1284,"M St & S 50th St",,47.211820,-122.451175,,,,,,1
1122,1285,"M St & S 52nd St",,47.210064,-122.451168,,,,,,1
1123,1286,"M St & S 52nd St",,47.209921,-122.451034,,,,,,1
1124,1287,"M St & S 54th St",,47.208186,-122.451019,,,,,,1
1125,1288,"M St & S 54th St",,47.208375,-122.451159,,,,,,1
1126,1289,"M St & S 56th St",,47.206724,-122.451002,,,,,,1
1127,1290,"M St & S 56th St",,47.206513,-122.451140,,,,,,1
1128,1291,"JBLM Madigan Hospital",,47.108661,-122.553961,,,,,,1
15166,1297,"72nd St E & 34th Ave E",,47.191763,-122.383842,,,,,,1
9,13,"100th St SW & Bristol Ave SW",,47.166648,-122.517255,,,,,,1
120,130,"116th St S & 8th Ave Ct S",,47.151250,-122.444784,,,,,,1
121,131,"116th St S & 8th Ave Ct S",,47.151166,-122.445072,,,,,,1
21636,1310,"72nd St E & 34th Ave E",,47.191658,-122.383882,,,,,,1
32725,1311,"26th St E & D St E",,47.238770,-122.428923,,,,,,1
122,132,"116th St S & Ainsworth Ave",,47.151366,-122.455335,,,,,,1
1162,1329,"Main St & Starling St",,47.171889,-122.595944,,,,,,1
123,133,"116th St S & Ainsworth Ave",,47.151269,-122.455054,,,,,,1
31732,1330,"Jefferson Ave S & S 25th St",,47.238662,-122.439003,,,,,,1
12373,1331,"Jefferson Ave S & S 25th St",,47.238834,-122.438868,,,,,,1
31686,1332,"Jefferson Ave S & S 21st St",,47.242538,-122.439316,,,,,,1
13926,1335,"Jefferson Ave S & S 21st St",,47.243055,-122.439222,,,,,,1
124,134,"116th St S & Park Ave",,47.151214,-122.439986,,,,,,1
1173,1342,"Maple St SW & Union Ave SW",,47.123837,-122.551132,,,,,,1
1174,1343,"Maple St SW & Union Ave SW",,47.123772,-122.551230,,,,,,1
12075,1344,"Jefferson Ave S & S 19th St",,47.245462,-122.438924,,,,,,1
9687,1345,"Broadway & S 17th St",,47.246973,-122.438615,,,,,,1
125,135,"116th St S & Park Ave",,47.151124,-122.439763,,,,,,1
