stop_id,stop_name,stop_lat,stop_lon,stop_code,wheelchair_boarding
433,WALNUT ST & 23RD ST - NB,47.986819,-122.189306,2225,2
434,15TH ST & WALNUT ST - WB,47.997555,-122.189758,2110,2
435,15TH ST & BAKER AVE - WB,47.997662,-122.194756,2095,2
436,POPLAR ST & 14TH ST - NB,47.998341,-122.194862,2090,2
437,POPLAR ST & 12TH ST - NB,48.001625,-122.194519,2060,2
438,11TH ST & POPLAR ST - WB,48.003281,-122.196022,2035,2
439,11th St & RAINIER AVE - WB,48.003281,-122.198112,2040,2
44,WETMORE AVE & WALL ST - SB,47.977318,-122.207230,2355,2
440,RAINIER AVE & 12TH ST - SB,48.001686,-122.198563,2055,2
441,COLLEGE STATION - BAY D - NB,48.005325,-122.200485,1054,2
442,RAINIER AVE & 12TH ST - NB,48.001785,-122.198425,2050,2
443,RAINIER AVE & 11TH ST - NB,48.002762,-122.198410,2045,2
444,11TH ST & POPLAR ST - EB,48.003189,-122.196213,2030,2
445,POPLAR ST & 12TH ST - SB,48.001141,-122.194603,2065,2
446,15TH ST & FULTON ST - EB,47.997574,-122.194794,2100,2
447,15TH ST & MAPLE ST - EB,47.997505,-122.189896,2105,2
448,WALNUT ST & 24TH ST - SB,47.985771,-122.189522,2230,2
449,WALNUT ST and EVERETT AVE SB,47.982023,-122.189643,2285,2
45,COLBY AVE & PACIFIC AVE - SB,47.976284,-122.208664,1425,2
450,LOMBARD AVE & PACIFIC AVE - NB,47.977207,-122.202904,1450,2
451,SMITH AVE & 35TH ST - SB,47.971481,-122.197060,2342,2
452,SMITH AVE & 36TH ST - SB,47.969677,-122.197029,2345,2
453,S 3RD AVE & 42ND ST - SB,47.962578,-122.197662,4000,2
454,S 3RD AVE & 43RD ST - SB,47.960789,-122.197449,4010,2
455,S 3RD AVE & 45TH ST - SB,47.957794,-122.197067,4020,2
456,S 2ND AVE & 49TH ST - SB,47.953625,-122.195351,4030,2
457,S 2ND AVE & EUGENE ST - SB,47.951290,-122.194916,4045,2
458,S 2ND AVE & MAIN ST - SB,47.948811,-122.194611,4050,2
459,BROADWAY & 53RD ST SE - SB,47.948467,-122.200081,4220,2
45990,SEAWAY TRANSIT CENTER - BAY 10 - NB,47.930195,-122.260566,3191,2
45991,COLBY AVE & 13TH ST - SB,48.000465,-122.208229,1145,2
46,COLBY AVE & 32ND ST - SB,47.974907,-122.208595,1490,2
460,BROADWAY & 56TH ST SE - SB,47.945286,-122.199883,4210,2
461,BROADWAY & 60TH ST SE - SB,47.942986,-122.199745,4200,2
462,BROADWAY & 62ND ST SE - SB,47.940960,-122.199615,4190,2
463,BROADWAY & MELVIN AVE - SB,47.939022,-122.199524,4180,2
464,BROADWAY & MADISON ST - SB,47.935688,-122.199821,4177,2
465,BROADWAY & MONROE AVE - SB,47.933384,-122.201042,4169,2
466,BROADWAY & 74TH ST SE - SB,47.930912,-122.202408,4161,2
467,BROADWAY & 79TH ST SE - SB,47.925671,-122.205231,4232,2
468,BEVERLY BLVD & BROADWAY - SB,47.922401,-122.207245,4248,2
469,19TH AVE SE & BURLEY DR - SB,47.912971,-122.207176,6125,2
47,COLBY AVE & 34TH ST - SB,47.972336,-122.208488,1500,2
470,19TH AVE SE & 96TH PL SE - SB,47.911076,-122.207207,6130,2
471,19TH AVE SE & 98TH ST SE - SB,47.909157,-122.207222,6135,2
472,19TH AVE SE & 101ST ST SE - SB,47.905743,-122.207153,6377,2
473,19TH AVE SE & 102ND ST SE - SB,47.904549,-122.207115,6140,2
474,19TH AVE SE & 106TH PL SE - SB,47.900162,-122.207016,6145,2
475,19TH AVE SE & 110TH ST SE - SB,47.898426,-122.206932,6150,2
476,19TH AVE SE & 113TH ST SE - EB,47.895611,-122.204926,6402,2
477,19TH AVE SE & 116TH ST SE - SB,47.892578,-122.204277,6247,2
478,121ST ST SE & 19TH AVE SE - WB,47.887730,-122.207458,6430,2
479,121ST ST SE & SILVER LAKE DR  - WB,47.887783,-122.210930,6355,2
48,COLBY AVE & 36TH ST - SB,47.969719,-122.208374,1510,2
480,121ST ST SE & SILVER LAKE RD - WB,47.888222,-122.213509,6350,2
481,SILVER LAKE RD & 116TH ST SE - NB,47.892262,-122.216072,6200,2
482,SILVER LAKE RD & SILVER LAKE BEACH - NB,47.894566,-122.214729,6343,2
483,112TH ST SE & SILVER LAKE RD - WB,47.896694,-122.214783,6160,2
484,South Everett Freeway Station - Bay 1,47.899570,-122.214195,6331,2
485,112TH ST SE & 10TH AVE SE - WB,47.896530,-122.218880,6165,2
486,7TH AVE SE & 112TH ST SE - NB,47.897129,-122.222969,6170,2
487,7TH AVE SE & 109TH ST SE - NB,47.899601,-122.223007,6175,2
488,7TH AVE SE & 105TH ST SE - NB,47.902744,-122.223045,6180,2
489,7TH AVE SE & BRUSKRUD RD - NB,47.905914,-122.223167,6185,2
49,COLBY AVE & 39TH ST - SB,47.965710,-122.208183,1530,2
