route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
B42,EN_C4-Saturday,EN_C4-Saturday-036000_B42_502,CANARSIE PIER,1,36166931,B420005
B65,EN_C4-Saturday,EN_C4-Saturday-036000_B65_855,DOWNTOWN BKLYN FULTON MALL,1,36166987,B650004
B17,EN_C4-Saturday,EN_C4-Saturday-036100_B17_759,CANARSIE SEAVIEW AV,1,36166835,B170092
B15,EN_C4-Saturday,EN_C4-Saturday-036200_B12_1,BED-STUY WOODHULL HOSPITAL,1,36167130,B150031
B15,EN_C4-Saturday,EN_C4-Saturday-036200_B15_107,SPRING CREEK DREW ST LINDEN BL,0,36167243,B150032
B82,EN_C4-Saturday,EN_C4-Saturday-036200_B82_611,CONEY ISLAND STILLWELL AV via FLATLANDS,1,36166920,B820069
B65,EN_C4-Saturday,EN_C4-Saturday-036600_B65_853,CROWN HEIGHTS RALPH AV,0,36166984,B650009
B17,EN_C4-Saturday,EN_C4-Saturday-036700_B14_702,CROWN HEIGHTS EASTERN PKY,0,36166831,B170993
Q24,EN_C4-Saturday,EN_C4-Saturday-036700_B15_104,JAMAICA 168 ST via ATLANTIC,0,36167085,Q240242
B83,EN_C4-Saturday,EN_C4-Saturday-036700_B83_302,SPRING CREEK GATEWAY MALL,1,36167058,B830002
B82,EN_C4-Saturday,EN_C4-Saturday-036800_B82_612,CONEY ISLAND STILLWELL AV via FLATLANDS,1,36166945,B820069
B14,EN_C4-Saturday,EN_C4-Saturday-037000_B14_704,CROWN HEIGHTS UTICA AV,1,36166850,B140023
B12,EN_C4-Saturday,EN_C4-Saturday-037000_B15_102,EAST NEW YORK ALABAMA AV,0,36167109,B120019
B15,EN_C4-Saturday,EN_C4-Saturday-037000_B15_112,BED-STUY WOODHULL HOSPITAL,1,36167148,B150031
B25,EN_C4-Saturday,EN_C4-Saturday-037000_B15_115,BROADWAY JCT ALABAMA AV via FULTON,0,36167065,B250029
B83,EN_C4-Saturday,EN_C4-Saturday-037000_B15_117,BROADWAY JCT VAN SINDEREN AV,0,36167055,B830018
Q56,EN_C4-Saturday,EN_C4-Saturday-037000_B15_120,JAMAICA 170 ST via JAMAICA AV,0,36167176,Q560002
B17,EN_C4-Saturday,EN_C4-Saturday-037000_B17_752,CANARSIE SEAVIEW AV,1,36166825,B170092
B15,EN_C4-Saturday,EN_C4-Saturday-037000_B25_206,JFK AIRPORT,0,36167287,B150033
B42,EN_C4-Saturday,EN_C4-Saturday-037000_B42_502,ROCKAWAY PKY STA,0,36166931,B421036
B45,EN_C4-Saturday,EN_C4-Saturday-037000_B45_802,DOWNTOWN BKLYN COURT ST,1,36166973,B450013
